,Make,Model,Variant,Ex-Showroom_Price,Displacement,Kerb_Weight,Cylinders,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Type,Odometer,Speedometer,Tachometer,Seating_Capacity,Start_/_Stop_Button,Audiosystem,Aux-in_Compatibility,Basic_Warranty,Bluetooth,12v_Power_Outlet,Boot-lid_Opener,Boot_Space,Child_Safety_Locks,Extended_Warranty,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Hill_Assist,Airbags,Number_of_Airbags,Parking_Assistance,Infotainment_Screen,Navigation_System,Third_Row_AC_Vents,Second_Row_AC_Vents,Engine_Type,Rain_Sensing_Wipers
233,Honda,Jazz,Vx Diesel,940500.0,1498.0,1155.0,4.0,BS IV,40.0,Diesel,Hatchback,5.0,27.3,6,165.0,100PS@3600rpm,200Nm@1750rpm,Manual,Digital,Analog,Analog,5.0,Yes,Not Applicable,Yes,2 years /40000 Kms ,Yes,Yes,Internal,354.0,Yes,1 years /20000 Kms ,Internal,Digital,Manual,Not Applicable,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Not Applicable,Not known,Not Applicable
234,Honda,Jazz,Exclusive Edition Cvt,928000.0,1199.0,1066.0,4.0,BS IV,40.0,Petrol,Hatchback,5.0,18.2,5,165.0,89 bhp@6000rpm,110 Nm@4800rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD Player with USB & Aux-in,Yes,2 years /40000 Kms ,Yes,Yes,Internal,354.0,Yes,1 years /20000 Kms ,Internal,Digital,Manual,Not Applicable,"Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors with camera,Yes,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
235,Jeep,Compass Trailhawk,2.0 Trailhawk 4X4 At,2680000.0,1956.0,1654.0,4.0,BS 6,60.0,Diesel,SUV,5.0,16.3,9,220.0,173PS@3750rpm,350Nm@1750-2500rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,2 years /40000 Kms ,Yes,2,"Internal, With Remote",438.0,Yes,1 years /20000 Kms ,"Internal, With Remote",Digital,Automatic,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
236,Jeep,Compass Trailhawk,2.0 Trailhawk (O) 4X4 At,2760000.0,1956.0,1654.0,4.0,BS 6,60.0,Diesel,SUV,5.0,16.3,9,220.0,173PS@3750rpm,350Nm@1750-2500rpm,Automatic,Digital,Analog,Analog,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,2 years /40000 Kms ,Yes,2,"Internal, With Remote",438.0,Yes,1 years /20000 Kms ,"Internal, With Remote",Digital,Automatic,Yes,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Yes
237,Isuzu,Mu-X,4X2,2734834.0,2999.0,1654.0,4.0,BS IV,76.0,Diesel,SUV,5.0,13.8,5,220.0,177PS@3600rpm,380Nm@1800-2800rpm,Automatic,Analog,Analog,Analog,7.0,Yes,DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,2,"With Remote, Manual",438.0,Yes,1 years /20000 Kms ,Internal,Digital,Manual,Yes,"Driver curtain airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",2.0,Rear sensors with camera,Touch Sensitive,Not Applicable,Yes,Yes,Not known,Not Applicable
238,Isuzu,Mu-X,4X4,2931534.0,2999.0,1654.0,4.0,BS IV,76.0,Diesel,SUV,5.0,13.8,5,220.0,177PS@3600rpm,380Nm@1800-2800rpm,Automatic,Analog,Analog,Analog,7.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,2,"With Remote, Manual",438.0,Yes,1 years /20000 Kms ,Internal,Digital,Manual,Yes,"Drive side airbag, Driver curtain airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",2.0,Rear sensors with camera,Touch Sensitive,Not Applicable,Yes,Yes,Not known,Not Applicable
239,Mahindra,Alturas G4,2Wd At,2770150.0,2157.0,1654.0,4.0,BS IV,70.0,Diesel,SUV,5,12.35,7,149.0,178bhp@400rpm,420Nm@1600-2600rpm,Automatic,Digital,Digital,Digital,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,Yes,"Internal, With Remote",438.0,Yes,1 years /20000 Kms ,"Internal, With Remote",Digital,Manual,Yes,"Driver frontal airbag, Front passenger frontal airbag",2.0,Yes,Touch Sensitive,Yes,Yes,Yes,Not known,Not Applicable
240,Mahindra,Alturas G4,4Wd At,3070150.0,2157.0,1654.0,4.0,BS IV,70.0,Diesel,SUV,5.0,12.05,7,149.0,178Bhp @ 4000,420Nm @1600-2600,Automatic,Digital,Digital,Digital,7.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Yes,Yes,"Internal, With Remote",438.0,Yes,1 years /20000 Kms ,"Internal, Push to Open",Digital,Automatic,Yes,"Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag, Drive side airbag",9.0,Front & rear sensors with 360 degree view,Touch Sensitive,Yes,Yes,Yes,Not known,Yes
241,Volkswagen,Tiguan,Comfortline 2.0L Tdi Amt,2814500.0,1968.0,1720.0,4.0,BS IV,71.0,Diesel,SUV,5.0,17.06,8,149.0,141PS@4000rpm,340Nm@1750-2750rpm,Automatic,Analog,Analog,Digital,5.0,Not Applicable,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Not Applicable,Yes,Internal,615.0,Yes,1 years /20000 Kms ,Internal,Analog,Automatic,Yes,"Drive side airbag, Driver frontal airbag, Front passenger curtain airbag, Driver curtain airbag, Curtain airbags, Front passenger head airbag",6.0,Rear sensors,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Not Applicable
242,Volkswagen,Tiguan,Highline 2.0L Tdi Amt,3153500.0,1968.0,1720.0,4.0,BS IV,71.0,Diesel,SUV,5,17.06,8,149.0,141PS@4000rpm,340Nm@1750-2750rpm,Automatic,Analog,Analog,Digital,5.0,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,3 years /100000 Kms ,Not Applicable,Yes,Internal,615.0,Yes,1 years /20000 Kms ,Internal,Analog,Automatic,Yes,"Front passenger head airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Curtain airbags, Driver frontal airbag",6.0,Rear sensors with camera,Touch Sensitive,Yes,Not Applicable,Yes,Not known,Not Applicable
